SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.000000,9.765831,1.000000,9.765831,46.776628,22.984924,6.238447,48.188615,0.000000,2.118535,4.061928,12.554118,4.250073,1.001107,1.862970,1.962653,0.000078,2935.724877,4.061798,12.553793,4.250253,41.910096,7.799698,4.456511,4.571962,2572.113216,110.707389,1007.328050,1.643332,5.634076,1.918334,1.349436,0.000000,2.036840,20.964941,12.364988,1.862975,1.962611,0.000000,582.109476,0.000000,14.229923,6.288402,41.909917,7.687265,2.797904,9.784201,20.964854,14.228048,285.009737,0.000000,3.023117,4.456495,4.571961,5.634071,1.918333,1.349529,2.036753,0.999844,6603.720150
0001-01-03 00:00:00,0.000000,11.332821,1.000000,11.332822,42.933441,19.071211,13.995348,46.537984,0.000000,1.907329,3.624774,10.076219,3.462658,2.242914,3.939780,4.208341,0.000086,1775.674356,3.624686,10.075912,3.462812,36.389135,7.803572,4.129994,4.256941,6651.090670,715.366367,1767.497747,4.947671,11.941116,3.708924,8.265638,0.000000,3.904464,42.598323,26.035938,3.939790,4.208254,0.000000,534.066414,0.000000,11.125652,5.654502,36.388981,7.441990,14.531999,18.216410,42.598146,29.975905,268.930845,0.000000,2.862093,4.129980,4.256939,11.941108,3.708921,8.265826,3.904288,0.999881,10283.896534
0001-01-04 00:00:00,0.000000,10.766406,1.000000,10.766406,44.779692,16.198376,15.021931,48.347374,0.000000,2.177436,3.756698,6.136450,4.127526,2.366995,4.556814,4.530706,0.000018,1291.589709,3.756574,6.136196,4.127703,41.411992,6.164627,3.575938,3.260044,7963.243134,1617.971062,2732.144790,4.511357,13.588003,4.439406,7.988653,0.000012,4.397057,46.674425,28.864995,4.556825,4.530609,0.000006,522.737950,0.000000,6.741373,6.787727,41.411815,8.782937,14.665534,18.776419,46.674228,33.422016,268.460660,0.000000,2.290241,3.575927,3.260041,13.587993,4.439403,7.988886,4.396849,0.999928,11894.542604
