SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.000001,39.063325,1.200000,39.063326,16.755807,12.537231,6.509684,0.101095,0.000000,0.006546,0.012561,0.038882,0.013172,0.006550,0.012203,0.012870,0.000001,9.071379,0.012561,0.038881,0.013172,0.130952,0.016977,0.009705,0.009961,9.934135,0.000000,6.335397,0.010360,0.035678,0.012167,0.008561,0.000000,0.012939,0.136136,0.080905,0.012203,0.012870,0.000000,1.206236,0.000000,0.044050,0.019489,0.130951,0.024076,0.017634,0.062155,0.136135,0.093197,0.461088,0.000000,0.006580,0.009705,0.009961,0.035677,0.012167,0.008562,0.012939,0.001776,41.884060
0001-01-03 00:00:00,0.000001,14.315143,1.600000,14.315143,21.466721,8.802097,5.598139,0.078314,0.000000,0.006914,0.013133,0.036525,0.012544,0.007043,0.012373,0.013215,0.000001,6.436518,0.013133,0.036523,0.012545,0.131428,0.018088,0.009569,0.009860,18.837170,2861.465466,5.591136,0.015628,0.037684,0.011702,0.026109,0.000001,0.012317,0.133607,0.081756,0.012373,0.013214,0.000000,0.902076,0.000000,0.040347,0.020484,0.131427,0.026814,0.046006,0.057510,0.133606,0.094141,0.359513,0.000000,0.006634,0.009569,0.009860,0.037684,0.011702,0.026089,0.012316,0.002325,32.445579
0001-01-04 00:00:00,0.000001,15.199632,1.714285,15.199632,23.363318,6.170810,5.814941,0.072075,0.000000,0.006869,0.011848,0.019315,0.012992,0.006689,0.012878,0.012803,0.000001,4.074415,0.011847,0.019314,0.012992,0.129733,0.017519,0.010161,0.009264,27.835397,77.662611,7.710663,0.012030,0.036231,0.011838,0.022601,0.000001,0.011749,0.132175,0.081568,0.012878,0.012803,0.000000,0.778656,0.000000,0.021219,0.021365,0.129733,0.027508,0.041477,0.053122,0.132175,0.094457,0.369399,0.000000,0.006509,0.010161,0.009264,0.036231,0.011838,0.021346,0.011748,0.003850,31.718780
