SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.000000,9.765831,1.000000,9.765831,46.776627,22.984923,6.238447,48.188482,0.000000,0.000090,0.000090,12.554029,0.000090,0.000042,0.000042,0.000042,0.000039,2935.724760,4.061708,12.553704,4.250163,41.910006,7.799570,4.456383,4.571835,2572.113089,0.000000,1007.327978,1.643288,5.634031,1.918290,1.349392,0.000000,2.036796,20.964897,12.364946,1.862932,1.962569,0.000000,582.109336,0.000000,0.000090,6.288313,0.000089,7.687176,0.000044,9.784157,0.000043,14.228006,285.009562,0.000000,0.000128,0.000128,0.000127,0.000044,0.000044,1.349485,0.000044,0.999687,6603.719994
0001-01-03 00:00:00,0.000000,11.332821,1.000000,11.332821,42.933440,19.071210,13.995348,46.537819,0.000000,0.000077,0.000077,10.076142,0.000077,0.000088,0.000088,0.000088,0.000043,1775.674280,3.624610,10.075836,3.462735,36.389058,7.803453,4.129875,4.256821,6651.090550,0.000000,1767.497648,4.947583,11.941028,3.708836,8.265550,0.000000,3.904376,42.598235,26.035849,3.939702,4.208165,0.000000,534.066249,0.000000,0.000077,5.654425,0.000077,7.441913,0.000088,18.216322,0.000089,29.975817,268.930637,0.000000,0.000120,0.000120,0.000120,0.000088,0.000088,8.265738,0.000088,0.999761,10283.896415
0001-01-04 00:00:00,0.000000,10.766406,1.000000,10.766406,44.779692,16.198376,15.021930,48.347188,0.000000,0.000088,0.000088,6.136362,0.000088,0.000098,0.000098,0.000098,0.000009,1291.589646,3.756486,6.136107,4.127615,41.411904,6.164529,3.575840,3.259946,7963.243037,0.000006,2732.144711,4.511252,13.587899,4.439302,7.988554,0.000006,4.396953,46.674327,28.864897,4.556727,4.530511,0.000000,522.737763,0.000000,0.000088,6.787639,0.000089,8.782848,0.000098,18.776321,0.000098,33.421918,268.460458,0.000000,0.000098,0.000098,0.000098,0.000104,0.000104,7.988782,0.000104,0.999856,11894.542531
