SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.833333,0.833333,0.875000,0.833333,4.125000,2.791667,1.833333,478.333333,0.000000,323.625000,323.625000,323.375000,322.875000,153.041667,152.833333,152.666667,140.041667,423.083333,323.625000,323.375000,322.875000,322.666667,460.083333,459.416667,459.208333,459.000000,19.500000,258.916667,159.000000,158.625000,157.916667,157.666667,0.000000,157.625000,157.416667,154.000000,152.833333,152.666667,0.000000,501.125000,0.000000,323.583333,323.041667,322.666667,320.041667,159.000000,158.666667,157.416667,154.000000,629.250000,0.000000,459.500000,459.416667,459.208333,158.625000,157.916667,157.666667,157.625000,563.166667,563.125000
0001-01-03 00:00:00,0.625000,0.625000,0.625000,0.625000,2.500000,2.000000,2.166667,594.500000,0.000000,275.875000,275.875000,276.000000,275.875000,318.375000,318.458333,318.416667,154.083333,276.041667,275.875000,276.000000,275.875000,276.041667,430.958333,431.416667,431.583333,431.750000,18.875000,353.083333,316.375000,316.583333,316.875000,316.708333,0.250000,316.833333,316.750000,318.833333,318.458333,318.416667,0.250000,595.958333,0.000000,275.916667,275.750000,276.041667,276.875000,316.125000,315.875000,316.750000,318.833333,748.750000,0.000000,431.458333,431.416667,431.583333,316.583333,316.875000,316.958333,316.833333,430.125000,430.125000
0001-01-04 00:00:00,0.583333,0.583333,0.583333,0.583333,2.583333,1.916667,2.625000,671.583333,0.000000,317.000000,317.000000,317.083333,317.708333,353.791667,353.875000,353.833333,32.458333,227.250000,317.000000,317.083333,317.708333,317.708333,351.666667,351.875000,351.916667,351.916667,69.833333,286.083333,375.166667,375.000000,375.041667,354.208333,20.791667,374.250000,353.458333,353.125000,353.875000,353.833333,20.791667,673.125000,0.000000,317.000000,317.708333,317.708333,319.208333,354.333333,353.583333,353.458333,353.125000,726.166667,0.000000,351.750000,351.875000,351.916667,375.000000,375.041667,375.000000,374.250000,259.708333,259.708333
