SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000133,0.000000,2.118445,4.061838,0.000090,4.249984,1.001064,1.862927,1.962611,0.000039,0.000118,0.000090,0.000090,0.000090,0.000090,0.000128,0.000128,0.000128,0.000127,110.707389,0.000072,0.000044,0.000044,0.000044,0.000044,0.000000,0.000044,0.000044,0.000043,0.000042,0.000042,0.000000,0.000139,0.000000,14.229834,0.000090,41.909828,0.000089,2.797860,0.000044,20.964812,0.000043,0.000175,0.000000,3.022989,4.456368,4.571834,5.634027,1.918289,0.000044,2.036709,0.000156,0.000156
0001-01-03 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000165,0.000000,1.907252,3.624697,0.000077,3.462582,2.242826,3.939692,4.208253,0.000043,0.000077,0.000077,0.000077,0.000077,0.000077,0.000120,0.000120,0.000120,0.000120,715.366366,0.000098,0.000088,0.000088,0.000088,0.000088,0.000000,0.000088,0.000088,0.000089,0.000088,0.000088,0.000000,0.000166,0.000000,11.125576,0.000077,36.388904,0.000077,14.531911,0.000088,42.598058,0.000089,0.000208,0.000000,2.861973,4.129860,4.256819,11.941020,3.708833,0.000088,3.904200,0.000119,0.000119
0001-01-04 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000187,0.000000,2.177348,3.756610,0.000088,4.127438,2.366896,4.556716,4.530608,0.000009,0.000063,0.000088,0.000088,0.000088,0.000088,0.000098,0.000098,0.000098,0.000098,1617.971057,0.000079,0.000104,0.000104,0.000104,0.000098,0.000006,0.000104,0.000098,0.000098,0.000098,0.000098,0.000006,0.000187,0.000000,6.741285,0.000088,41.411726,0.000089,14.665436,0.000098,46.674130,0.000098,0.000202,0.000000,2.290144,3.575829,3.259943,13.587889,4.439299,0.000104,4.396745,0.000072,0.000072
